game_id,season,home_team,away_team,season_type,week,game_date,home_score,away_score,result,home_win,home_elo_rating,away_elo_rating
1999_07_KC_BAL,1999,BAL,KC,REG,7,1999-10-21,8,35,-27,0,1490.3813994802822,1518.6845017804494
1999_07_NO_NYG,1999,NYG,NO,REG,7,1999-10-24,31,3,28,1,1511.157825959991,1459.5277209888463
1999_07_NYJ_OAK,1999,LV,NYJ,REG,7,1999-10-24,24,23,1,1,1510.6030489430411,1446.1577618770598
1999_07_PHI_MIA,1999,MIA,PHI,REG,7,1999-10-24,16,13,3,1,1541.4591420467766,1463.9730693972515
1999_07_SF_MIN,1999,MIN,SF,REG,7,1999-10-24,40,16,24,1,1489.1327728805936,1490.1441172366574
1999_07_WAS_DAL,1999,DAL,WAS,REG,7,1999-10-24,38,20,18,1,1523.9486509162027,1521.9852177011123
1999_08_BUF_BAL,1999,BAL,BUF,REG,8,1999-10-31,10,13,-3,0,1479.7485573625647,1523.0308516022055
1999_08_CAR_ATL,1999,ATL,CAR,REG,8,1999-10-31,27,20,7,1,1452.8770731505326,1468.2689840706382
1999_08_CHI_WAS,1999,WAS,CHI,REG,8,1999-10-31,48,22,26,1,1532.8494224647436,1481.0203787868595
1999_08_CLE_NO,1999,NO,CLE,REG,8,1999-10-31,16,21,-5,0,1450.6056173038678,1430.8538126477401
1999_08_DAL_IND,1999,IND,DAL,REG,8,1999-10-31,34,24,10,1,1532.0396207128608,1514.0020594920918
1999_08_JAX_CIN,1999,CIN,JAX,REG,8,1999-10-31,10,41,-31,0,1433.7150759459844,1556.866118682108
1999_08_MIA_OAK,1999,LV,MIA,REG,8,1999-10-31,9,16,-7,0,1499.7172668054686,1552.344924184349
1999_08_MIN_DEN,1999,DEN,MIN,REG,8,1999-10-31,20,23,-3,0,1454.7657521245555,1499.8134659465843
1999_08_NE_ARI,1999,ARI,NE,REG,8,1999-10-31,3,27,-24,0,1465.9577767866356,1546.9024391554287
1999_08_NYG_PHI,1999,PHI,NYG,REG,8,1999-10-31,17,23,-6,0,1452.6232713012587,1522.5076240559838
1999_08_SD_KC,1999,KC,LAC,REG,8,1999-10-31,34,0,34,1,1528.6206799850202,1510.9657499695059
1999_08_SEA_GB,1999,GB,SEA,REG,8,1999-11-01,7,27,-20,0,1511.2666499243032,1528.3034995701446
1999_08_STL_TEN,1999,TEN,LA,REG,8,1999-10-31,24,21,3,1,1552.5016186724683,1547.1218888048295
1999_08_TB_DET,1999,DET,TB,REG,8,1999-10-31,20,3,17,1,1532.1474966371907,1489.9855280299612
1999_09_ARI_NYJ,1999,NYJ,ARI,REG,9,1999-11-07,12,7,5,1,1455.5884877904373,1456.527050873258
1999_09_BAL_CLE,1999,CLE,BAL,REG,9,1999-11-07,9,41,-32,0,1419.4557263250035,1491.1466436853013
1999_09_BUF_WAS,1999,WAS,BUF,REG,9,1999-11-07,17,34,-17,0,1523.1319484433839,1532.7483256235653
1999_09_CHI_GB,1999,GB,CHI,REG,9,1999-11-07,13,14,-1,0,1502.1350150001924,1490.1520137109703
1999_09_CIN_SEA,1999,SEA,CIN,REG,9,1999-11-07,37,20,17,1,1540.960647308321,1421.057928207808
1999_09_DAL_MIN,1999,MIN,DAL,REG,9,1999-11-08,27,17,10,1,1509.4053122704925,1504.4102131681836
1999_09_DEN_SD,1999,LAC,DEN,REG,9,1999-11-07,17,33,-16,0,1502.5693540660072,1463.1621480280542
1999_09_JAX_ATL,1999,ATL,JAX,REG,9,1999-11-07,7,30,-23,0,1439.9703127939692,1569.7728790386714
1999_09_KC_IND,1999,IND,KC,REG,9,1999-11-07,25,17,8,1,1542.1380225610396,1518.5222781368414
1999_09_PHI_CAR,1999,CAR,PHI,REG,9,1999-11-07,33,7,26,1,1478.7189997316689,1442.173255640228
1999_09_PIT_SF,1999,SF,PIT,REG,9,1999-11-07,6,27,-21,0,1479.508001712638,1522.9110322344172
1999_09_STL_DET,1999,DET,LA,REG,9,1999-11-07,31,27,4,1,1541.7167656590464,1537.5526197829738
1999_09_TB_NO,1999,NO,TB,REG,9,1999-11-07,16,31,-15,0,1439.4770013272062,1501.1141440066228
1999_09_TEN_MIA,1999,MIA,TEN,REG,9,1999-11-07,17,0,17,1,1562.3404141547487,1542.5061287020687
1999_10_BAL_JAX,1999,JAX,BAL,REG,10,1999-11-14,6,3,3,1,1581.9980663626393,1478.9214563613334
1999_10_CAR_STL,1999,LA,CAR,REG,10,1999-11-14,35,10,25,1,1549.2299852690603,1467.0416342455824
1999_10_CLE_PIT,1999,PIT,CLE,REG,10,1999-11-14,15,16,-1,0,1515.8037220544575,1426.5630365049633
1999_10_DEN_SEA,1999,SEA,DEN,REG,10,1999-11-14,20,17,3,1,1553.1631781483277,1450.9596171880476
1999_10_DET_ARI,1999,ARI,DET,REG,10,1999-11-14,23,19,4,1,1464.123078149877,1534.1207383824274
1999_10_GB_DAL,1999,DAL,GB,REG,10,1999-11-14,27,13,14,1,1514.4756976994338,1492.0695304689423
1999_10_IND_NYG,1999,NYG,IND,REG,10,1999-11-14,19,27,-8,0,1511.943216235684,1552.7024303813394
1999_10_KC_TB,1999,TB,KC,REG,10,1999-11-14,17,10,7,1,1510.6135164972789,1509.0229056461853
1999_10_MIA_BUF,1999,BUF,MIA,REG,10,1999-11-14,23,3,20,1,1541.8986504897002,1553.1900892886138
1999_10_MIN_CHI,1999,CHI,MIN,REG,10,1999-11-14,24,27,-3,0,1479.5984257826804,1519.9589001987824
1999_10_NYJ_NE,1999,NE,NYJ,REG,10,1999-11-15,17,24,-7,0,1539.4717769446274,1463.0191500012386
1999_10_SD_OAK,1999,LV,LAC,REG,10,1999-11-14,28,9,19,1,1509.635178979223,1492.651441892253
1999_10_SF_NO,1999,NO,SF,REG,10,1999-11-14,24,6,18,1,1448.3298881211401,1470.655114918704
1999_10_TEN_CIN,1999,CIN,TEN,REG,10,1999-11-14,14,24,-10,0,1407.6981107952447,1555.8659461146322
